VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2.0,2020-01-01 00:57:10,2020-01-01 01:06:22,2.0,1.45,1.0,8.0,0.5,0.5,3.54,0.0,0.3,15.34,2.5
2.0,2020-01-01 00:11:25,2020-01-01 00:38:33,1.0,6.75,1.0,23.5,0.5,0.5,5.46,0.0,0.3,32.76,2.5
2.0,2020-01-01 00:49:21,2020-01-01 00:52:17,1.0,0.74,1.0,4.5,0.5,0.5,1.41,0.0,0.3,9.71,2.5
2.0,2020-01-01 00:08:49,2020-01-01 00:16:06,1.0,1.03,2.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
2.0,2020-01-01 00:28:39,2020-01-01 01:01:49,2.0,11.57,2.0,36.0,0.5,0.5,0.0,0.0,0.3,39.8,2.5
1.0,2020-01-01 00:27:58,2020-01-01 00:37:02,1.0,2.1,1.0,9.0,3.0,0.5,3.8,0.0,0.3,16.6,2.5
1.0,2020-01-01 00:39:53,2020-01-01 00:53:46,2.0,4.1,2.0,15.0,3.0,0.5,0.0,0.0,0.3,18.8,2.5
1.0,2020-01-01 00:56:34,2020-01-01 01:16:41,2.0,2.3,1.0,13.5,3.0,0.5,2.0,0.0,0.3,19.3,2.5
1.0,2020-01-01 00:37:24,2020-01-01 01:23:45,1.0,2.3,1.0,26.0,3.0,0.5,5.95,0.0,0.3,35.75,2.5
2.0,2020-01-01 00:11:43,2020-01-01 00:16:57,2.0,1.16,1.0,6.0,0.5,0.5,1.18,0.0,0.3,10.98,2.5
2.0,2020-01-01 00:21:52,2020-01-01 00:33:06,2.0,3.82,1.0,12.5,0.5,0.5,0.2,0.0,0.3,16.5,2.5
2.0,2020-01-01 00:40:56,2020-01-01 00:47:38,2.0,1.07,2.0,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0.0
2.0,2020-01-01 00:54:37,2020-01-01 01:18:24,2.0,7.12,2.0,23.5,0.5,0.5,0.0,0.0,0.3,27.3,2.5
2.0,2020-01-01 00:33:57,2020-01-01 00:53:33,1.0,2.92,2.0,14.0,0.5,0.5,0.0,0.0,0.3,17.8,2.5
2.0,2020-01-01 00:22:13,2020-01-01 00:28:59,1.0,0.5,2.0,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
